Year,Rotholz_n,Rotholz_p,Resin_n,Resin_p
1980,11,42,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,1,3,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,8,19,1,2
1991,10,24,0,0
1992,14,32,0,0
1993,7,16,0,0
1994,5,11,0,0
1995,6,13,1,2
1996,4,9,0,0
1997,4,8,0,0
1998,7,14,0,0
1999,2,4,0,0
2000,3,6,0,0
2001,3,6,1,2
2002,2,4,0,0
2003,2,4,0,0
2004,2,4,0,0
2005,0,0,0,0
2006,0,0,0,0
2007,1,2,1,2
2008,3,6,0,0
2009,7,14,0,0
2010,8,16,0,0
2011,7,14,0,0
2012,9,18,0,0
2013,9,18,0,0
2014,10,20,0,0
2015,12,24,0,0
2016,10,20,0,0
