Year,Rotholz_n,Rotholz_p,Resin_n,Resin_p
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,0,0,0,0
1996,1,3,0,0
1997,1,3,0,0
1998,2,6,0,0
1999,3,10,0,0
2000,8,26,0,0
2001,8,26,0,0
2002,4,13,0,0
2003,0,0,0,0
2004,0,0,0,0
2005,1,3,0,0
2006,1,3,0,0
2007,1,3,0,0
2008,3,10,0,0
2009,9,29,0,0
2010,12,39,0,0
2011,9,29,0,0
2012,10,32,0,0
2013,9,29,0,0
2014,7,23,0,0
2015,6,19,0,0
2016,5,16,0,0
