Year,Rotholz_n,Rotholz_p,Resin_n,Resin_p
1980,3,5%,0,0%
1981,2,3%,0,0%
1982,1,2%,0,0%
1983,1,2%,0,0%
1984,1,2%,0,0%
1985,1,2%,0,0%
1986,0,0%,0,0%
1987,0,0%,0,0%
1988,0,0%,1,2%
1989,0,0%,1,2%
1990,3,5%,0,0%
1991,3,5%,0,0%
1992,4,7%,0,0%
1993,2,3%,0,0%
1994,3,5%,0,0%
1995,3,5%,0,0%
1996,3,5%,0,0%
1997,1,2%,0,0%
1998,1,2%,0,0%
1999,0,0%,0,0%
2000,3,5%,0,0%
2001,11,19%,1,2%
2002,9,16%,1,2%
2003,12,21%,0,0%
2004,19,33%,1,2%
2005,18,31%,2,3%
2006,21,36%,5,9%
2007,22,38%,4,7%
2008,13,22%,1,2%
2009,11,19%,0,0%
2010,14,24%,0,0%
2011,22,38%,0,0%
2012,9,16%,1,2%
2013,6,10%,0,0%
2014,2,3%,0,0%
2015,2,3%,0,0%
2016,1,2%,0,0%
