Year,Rotholz_n,Rotholz_p,Resin_n,Resin_p
1980,2,8%,0,0%
1981,2,8%,0,0%
1982,2,8%,0,0%
1983,2,8%,1,4%
1984,2,8%,0,0%
1985,2,8%,0,0%
1986,2,8%,0,0%
1987,1,4%,0,0%
1988,1,4%,0,0%
1989,1,4%,0,0%
1990,1,4%,0,0%
1991,0,0%,0,0%
1992,0,0%,0,0%
1993,0,0%,0,0%
1994,0,0%,0,0%
1995,0,0%,0,0%
1996,0,0%,0,0%
1997,0,0%,0,0%
1998,0,0%,0,0%
1999,1,4%,0,0%
2000,2,8%,0,0%
2001,2,8%,0,0%
2002,2,8%,0,0%
2003,2,8%,0,0%
2004,2,8%,0,0%
2005,2,8%,1,4%
2006,2,8%,0,0%
2007,2,8%,1,4%
2008,3,13%,1,4%
2009,2,8%,0,0%
2010,2,8%,0,0%
2011,2,8%,0,0%
2012,2,8%,0,0%
2013,2,8%,1,4%
2014,0,0%,0,0%
2015,0,0%,0,0%
2016,0,0%,0,0%
