Year,Rotholz_n,Rotholz_p,Resin_n,Resin_p
1980,2,6,0,0
1981,1,2,0,0
1982,1,2,0,0
1983,1,2,0,0
1984,2,4,0,0
1985,3,6,0,0
1986,4,8,0,0
1987,2,4,0,0
1988,3,6,0,0
1989,4,7,0,0
1990,6,10,0,0
1991,10,18,0,0
1992,14,24,0,0
1993,15,26,0,0
1994,16,27,0,0
1995,17,28,1,2
1996,25,40,1,2
1997,17,27,2,3
1998,18,29,4,6
1999,19,31,1,2
2000,26,42,0,0
2001,18,29,0,0
2002,13,21,0,0
2003,9,14,2,3
2004,6,9,1,2
2005,7,11,0,0
2006,8,13,0,0
2007,14,23,0,0
2008,10,16,0,0
2009,12,20,1,2
2010,16,27,2,3
2011,14,23,0,0
2012,17,28,1,2
2013,14,23,0,0
2014,15,25,0,0
2015,17,28,1,2
2016,16,27,0,0
