Year,% Rotholz,% Resin
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,13,0
1961,13,0
1962,0,0
1963,0,0
1964,0,0
1965,9,0
1966,9,0
1967,0,0
1968,0,0
1969,0,0
1970,8,0
1971,6,0
1972,5,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,6,0
1981,3,0
1982,3,0
1983,2,0
1984,4,0
1985,6,0
1986,8,0
1987,4,0
1988,6,0
1989,8,0
1990,11,0
1991,18,0
1992,25,0
1993,26,0
1994,27,0
1995,28,17
1996,41,17
1997,28,3
1998,30,7
1999,31,17
2000,43,0
2001,30,0
2002,21,0
2003,15,3
2004,10,2
2005,11,0
2006,14,0
2007,24,0
2008,17,0
2009,20,2
2010,27,4
2011,24,0
2012,29,2
2013,24,0
2014,25,0
2015,29,2
2016,27,0
