Year,Rotholz_n,Rotholz_p,Resin_n,Resin_p
1980,0,0,0,0
1981,1,5,0,0
1982,1,5,0,0
1983,2,10,0,0
1984,1,4,0,0
1985,4,15,0,0
1986,4,13,0,0
1987,1,2,0,0
1988,1,2,0,0
1989,2,4,2,4
1990,3,6,0,0
1991,3,6,0,0
1992,4,7,0,0
1993,3,5,0,0
1994,4,7,0,0
1995,2,3,0,0
1996,3,5,0,0
1997,2,3,0,0
1998,1,1,0,0
1999,8,13,0,0
2000,31,51,1,2
2001,33,55,6,10
2002,32,53,4,6
2003,19,31,1,2
2004,22,36,0,0
2005,27,45,1,2
2006,33,56,3,5
2007,33,56,2,3
2008,27,46,2,3
2009,24,41,1,2
2010,27,46,2,3
2011,24,41,2,3
2012,30,51,1,2
2013,30,51,0,0
2014,20,34,0,0
2015,17,29,1,2
2016,20,34,2,3
