Year,Rotholz_n,Rotholz_p,Resin_n,Resin_p
1980,1,10,0,0
1981,1,8,0,0
1982,1,8,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,1,3,0,0
1986,1,3,0,0
1987,1,3,0,0
1988,1,2,0,0
1989,1,2,1,3
1990,2,5,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,1,1,0,0
1996,1,1,0,0
1997,0,0,0,0
1998,0,0,0,0
1999,2,3,0,0
2000,7,11,0,0
2001,9,15,0,0
2002,4,6,0,0
2003,3,5,0,0
2004,4,6,0,0
2005,3,5,0,0
2006,1,1,0,0
2007,1,1,0,0
2008,3,5,0,0
2009,2,3,0,0
2010,7,11,0,0
2011,9,15,0,0
2012,11,18,0,0
2013,9,15,0,0
2014,4,7,0,0
2015,5,8,0,0
2016,2,3,0,0
