Year,% Rotholz,% Resin
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,17,0
1963,17,0
1964,17,0
1965,17,17
1966,0,17
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,14,0
1978,13,0
1979,13,0
1980,10,0
1981,8,0
1982,8,0
1983,0,0
1984,0,0
1985,4,0
1986,3,0
1987,3,0
1988,3,0
1989,3,3
1990,5,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,2,0
1996,2,0
1997,0,0
1998,0,0
1999,3,0
2000,12,0
2001,15,0
2002,7,0
2003,5,0
2004,7,0
2005,5,0
2006,2,0
2007,2,0
2008,5,0
2009,3,0
2010,12,0
2011,15,0
2012,19,0
2013,16,0
2014,7,0
2015,9,0
2016,4,0
