Year,Rotholz_n,Rotholz_p,Resin_n,Resin_p
1980,1,2,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,1,2,0,0
1985,1,2,0,0
1986,1,2,0,0
1987,3,5,0,0
1988,3,5,0,0
1989,2,3,0,0
1990,2,3,0,0
1991,1,2,0,0
1992,3,5,0,0
1993,3,5,0,0
1994,3,5,0,0
1995,4,7,0,0
1996,2,3,0,0
1997,3,5,0,0
1998,5,8,0,0
1999,3,5,0,0
2000,3,5,0,0
2001,2,3,0,0
2002,1,2,0,0
2003,2,3,0,0
2004,2,3,0,0
2005,2,3,0,0
2006,0,0,0,0
2007,0,0,0,0
2008,0,0,0,0
2009,0,0,0,0
2010,1,2,0,0
2011,2,3,0,0
2012,2,3,0,0
2013,2,3,0,0
2014,2,3,0,0
2015,1,2,0,0
2016,1,2,0,0
