Year,Rotholz_n,Rotholz_p,Resin_n,Resin_p
1980,1,5,0,0
1981,0,0,1,5
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,1,4,1,4
1993,0,0,0,0
1994,1,3,0,0
1995,1,3,0,0
1996,1,3,0,0
1997,1,3,0,0
1998,2,6,0,0
1999,1,3,0,0
2000,2,6,0,0
2001,0,0,0,0
2002,0,0,0,0
2003,1,3,0,0
2004,1,3,1,3
2005,0,0,1,3
2006,2,6,2,7
2007,5,17,3,10
2008,5,17,1,3
2009,3,10,0,0
2010,10,34,2,7
2011,7,24,5,17
2012,7,24,2,7
2013,4,13,3,10
2014,2,6,2,7
2015,1,3,1,4
2016,0,0,1,4
