Year,Rotholz_n,Rotholz_p,Resin_n,Resin_p
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,1,2,0,0
1986,1,2,0,0
1987,1,2,0,0
1988,2,3,0,0
1989,1,2,0,0
1990,1,2,0,0
1991,11,18,2,3
1992,9,15,0,0
1993,7,12,0,0
1994,4,7,0,0
1995,4,7,1,2
1996,3,5,0,0
1997,3,5,0,0
1998,8,13,0,0
1999,17,28,0,0
2000,36,60,1,2
2001,17,28,3,5
2002,0,0,0,0
2003,0,0,0,0
2004,2,3,3,5
2005,3,5,3,5
2006,7,12,3,5
2007,20,33,3,5
2008,16,27,0,0
2009,23,38,0,0
2010,26,43,1,2
2011,21,35,0,0
2012,13,22,0,0
2013,11,18,0,0
2014,8,13,0,0
2015,11,18,0,0
2016,10,17,1,2
