Year,Rotholz_n,Rotholz_p,Resin_n,Resin_p
1980,3,5%,0,0%
1981,2,3%,0,0%
1982,2,3%,0,0%
1983,1,2%,0,0%
1984,0,0%,0,0%
1985,1,2%,0,0%
1986,0,0%,0,0%
1987,0,0%,0,0%
1988,3,5%,0,0%
1989,6,10%,0,0%
1990,10,16%,0,0%
1991,5,8%,1,2%
1992,10,16%,0,0%
1993,9,15%,1,2%
1994,7,11%,0,0%
1995,7,11%,3,5%
1996,10,16%,2,3%
1997,14,23%,1,2%
1998,26,43%,1,2%
1999,30,49%,0,0%
2000,37,61%,1,2%
2001,19,31%,0,0%
2002,7,11%,0,0%
2003,14,23%,1,2%
2004,9,15%,0,0%
2005,10,16%,0,0%
2006,14,23%,0,0%
2007,21,34%,0,0%
2008,20,33%,1,2%
2009,22,36%,1,2%
2010,30,49%,4,7%
2011,31,51%,4,7%
2012,32,52%,3,5%
2013,29,48%,3,5%
2014,14,23%,3,5%
2015,16,26%,0,0%
2016,14,23%,0,0%
