Year,% Rotholz,% Resin
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,17,0
1961,0,17
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,4,0
1972,4,0
1973,4,0
1974,4,0
1975,3,0
1976,0,0
1977,6,0
1978,3,0
1979,3,0
1980,8,0
1981,5,0
1982,5,0
1983,2,0
1984,0,0
1985,2,0
1986,0,0
1987,0,0
1988,4,0
1989,11,0
1990,18,0
1991,11,2
1992,18,0
1993,16,2
1994,12,0
1995,12,5
1996,16,3
1997,23,2
1998,43,2
1999,48,0
2000,60,2
2001,31,0
2002,11,0
2003,23,2
2004,15,0
2005,16,0
2006,23,0
2007,34,0
2008,32,2
2009,35,2
2010,48,6
2011,50,6
2012,52,5
2013,47,5
2014,23,5
2015,26,0
2016,23,0
