Year,Rotholz_n,Rotholz_p,Resin_n,Resin_p
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,1,3
1984,1,2,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,1,2,0,0
1989,2,4,0,0
1990,4,8,1,2
1991,5,10,1,2
1992,5,10,0,0
1993,6,11,2,4
1994,4,7,0,0
1995,9,16,1,2
1996,9,16,3,5
1997,10,17,3,5
1998,11,18,2,3
1999,11,18,1,2
2000,12,19,0,0
2001,12,19,4,7
2002,8,13,3,5
2003,10,16,0,0
2004,7,11,0,0
2005,4,6,0,0
2006,6,9,0,0
2007,10,16,1,2
2008,8,13,1,2
2009,9,14,1,2
2010,10,16,0,0
2011,6,9,3,5
2012,7,11,2,3
2013,4,6,1,2
2014,3,5,0,0
2015,3,5,0,0
2016,3,5,0,0
