Year,% Rotholz,% Resin
1950,0,0
1951,0,0
1952,50,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,17
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,6,0
1976,6,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,3,0
1985,0,0
1986,0,0
1987,0,0
1988,2,0
1989,4,0
1990,9,0
1991,10,2
1992,10,0
1993,12,2
1994,7,0
1995,16,5
1996,16,3
1997,17,2
1998,19,2
1999,18,0
2000,20,2
2001,20,0
2002,13,0
2003,16,2
2004,11,0
2005,7,0
2006,10,0
2007,16,0
2008,13,2
2009,15,2
2010,16,6
2011,10,6
2012,12,5
2013,7,5
2014,5,5
2015,5,0
2016,6,0
