Year,Rotholz_n,Rotholz_p,Resin_n,Resin_p
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,1,8,0,0
1987,1,7,0,0
1988,1,7,0,0
1989,1,7,0,0
1990,3,17,0,0
1991,2,9,0,0
1992,3,12,0,0
1993,2,7,1,4
1994,4,13,1,3
1995,6,18,1,3
1996,10,30,1,3
1997,13,38,3,9
1998,15,39,7,2
1999,18,40,7,2
2000,20,40,7,1
2001,14,26,4,8
2002,19,36,1,2
2003,11,20,0,0
2004,13,24,0,0
2005,16,27,0,0
2006,17,29,0,0
2007,17,29,0,0
2008,14,23,0,0
2009,16,26,0,0
2010,18,30,0,0
2011,13,21,1,2
2012,10,16,0,0
2013,9,15,0,0
2014,6,10,0,0
2015,5,8,0,0
2016,6,10,0,0
