Year,tree_id,BWA_pop,tree_gsi,tree_ngsi,rotholz
2014,2,none,0.7332,-0.6704,0
2014,3,none,0.0596,-2.1582,0
2014,4,light,-0.04915,-1.9345,0
2014,5,light,-0.18245,-1.4269,0
2014,6,light,-1.0423,-2.08405,0
2014,7,light,0.1443,-1.20065,1
2014,8,light,0.27195,-1.50575,1
2014,11,none,0.4323,-1.52995,1
2014,12,light,0.8857,-0.42375,0
2014,13,light,0.38145,-1.03775,0
2014,14,light,0.3757,-1.783,0
2014,15,light,0.26215,-1.2891,0
2014,16,light,0.0046,-1.9505,0
2014,17,light,0.2013,-1.5711,0
2014,18,light,-0.30295,-1.7977,0
2014,19,none,0.6093,-0.7611,1
2014,21,none,0.2228,-1.33805,1
2014,22,light,-0.18305,-2.1411,0
2014,23,light,0.0948,-1.8228,1
2014,26,light,0.1821,-1.59125,0
2014,27,none,0.60115,-1.04025,1
2014,28,none,1.2262,0.37615,1
2014,29,none,0.3171,-2.0431,0
2014,30,none,1.0455,0.1372,0
2015,2,light,0.4532,-1.33195,0
2015,3,light,0.20925,-1.8172,NA
2015,4,light,0.07585,-1.68835,0
2015,5,light,0.1019,-1.07885,0
2015,6,light,-0.54865,-1.5781,0
2015,7,light,0.0568,-1.36395,0
2015,8,light,0.6174,-0.79625,1
2015,11,light,0.40855,-1.59655,1
2015,12,light,0.8086,-0.645,0
2015,13,light,0.26295,-1.2302,0
2015,14,light,0.7203,-0.79875,0
2015,15,light,-0.0691,-1.87175,0
2015,16,light,0.2446,-1.47475,0
2015,17,light,0.2438,-1.4887,0
2015,18,light,0.0631,-1.30855,0
2015,19,light,0.91535,-0.1365,1
2015,21,none,0.9149,-0.14665,1
2015,22,light,0.2394,-1.3029,0
2015,23,light,0.18985,-1.5357,0
2015,26,light,0.3612,-1.2751,0
2015,27,light,0.60885,-1.03645,1
2015,28,none,1.99775,1.6609,1
2015,29,light,0.7148,-0.8533,0
2015,30,light,0.9501,-0.15235,0
2016,2,none,0.4004,-1.46335,0
2016,3,light,0.44365,-1.283,NA
2016,4,light,0.35675,-1.16115,0
2016,5,light,NA,NA,0
2016,6,light,-0.4455,-1.4689,0
2016,7,light ,0.0684,-1.39785,0
2016,8,none,0.75575,-0.5001,1
2016,11,none,0.7287,-0.73355,1
2016,12,light,1.04595,0.168,0
2016,13,light,-0.03395,-1.7197,0
2016,14,light,0.7863,-0.6182,0
2016,15,light,-0.0128,-1.77585,0
2016,16,none,0.62415,-0.76205,0
2016,17,light,0.8949,-0.2268,0
2016,18,mod,-0.02835,-1.4094,0
2016,19,none,1.14325,0.2989,1
2016,21,none,1.6377,1.09765,1
2016,22,light,0.7211,-0.45265,0
2016,23,none,-0.2631,-2.0416,0
2016,26,none,0.49425,-0.9396,0
2016,27,none,0.8245,-0.46365,1
2016,28,none,2.1227,1.8637,1
2016,29,none,0.9146,-0.2554,1
2016,30,none,1.16855,0.51005,1
