bwa_pop,Year,variable,value
None,2014,rot_tree,56
None,2015,rot_tree,100
None,2016,rot_tree,67
None,2014,num_tree,9
None,2015,num_tree,2
None,2016,num_tree,12
Light,2014,rot_tree,20
Light,2015,rot_tree,18
Light,2016,rot_tree,0
Light,2014,num_tree,15
Light,2015,num_tree,22
Light,2016,num_tree,11
Moderate,2014,rot_tree,0
Moderate,2015,rot_tree,0
Moderate,2016,rot_tree,0
Moderate,2014,num_tree,0
Moderate,2015,num_tree,0
Moderate,2016,num_tree,1
Heavy,2014,rot_tree,0
Heavy,2015,rot_tree,0
Heavy,2016,rot_tree,0
Heavy,2014,num_tree,0
Heavy,2015,num_tree,0
Heavy,2016,num_tree,0
