Year,tree_id,BWA_pop,tree_gsi,tree_ngsi,rotholz
2014,1,none,0.4358,-1.02215,0
2014,2,light,0.9773,0.1438,0
2014,3,light,0.6742,-0.75205,0
2014,4,light,0.1366,-1.5093,0
2014,5,light,0.4926,-1.1066,0
2014,6,light,0.7117,-0.81455,0
2014,8,none,0.8057,-0.5874,0
2014,9,light,1.01555,0.0766,1
2014,10,light,-0.31545,-1.60345,0
2014,11,light,0.88225,-0.2272,0
2014,12,light,0.04395,-1.16645,0
2014,13,light,-0.36605,-1.16475,0
2014,14,none,NA,NA,0
2014,19,light,0.4299,-0.8207,1
2014,20,none,1.1335,0.2168,0
2014,21,light,0.91325,-0.4868,0
2014,22,none,0.3279,-1.0294,0
2014,23,none,0.89625,-0.1907,0
2014,24,light,0.63735,-0.81165,0
2014,28,light,0.66655,-0.9561,0
2014,29,light,0.43475,-0.9985,0
2014,30,light,NA,NA,0
2016,1,none,0.0185,-1.6233,0
2016,2,none,0.6869,-0.13495,0
2016,3,none,0.2326,-1.94435,0
2016,4,light,NA,NA,0
2016,5,light,0.23975,-1.65115,0
2016,6,light,0.5456,-0.7373,0
2016,8,none,0.2348,-2.174,0
2016,9,light,-0.18225,-2.0429,0
2016,10,none,0.0121,-1.8248,0
2016,11,light,0.35815,-1.52625,0
2016,12,light,-0.59805,-1.1585,0
2016,13,none,0.23105,-1.39565,0
2016,14,none,NA,NA,0
2016,19,none,0.6284,-0.37925,1
2016,20,none,-0.0197,-1.6564,0
2016,21,none,0.679,-2.10455,0
2016,22,none,-0.40865,-2.1536,0
2016,23,none,0.1057,-1.7397,0
2016,24,none,0.20455,-1.78405,0
2016,28,light,0.2726,-2.38965,0
2016,29,light,-0.13755,-2.01525,0
2016,30,light,NA,NA,0
