Year,tree_id,BWA_pop,tree_gsi,tree_ngsi,rotholz
2014,6,light,0.26005,-1.35315,0
2014,7,light,0.04395,-1.16885,0
2014,10,medium,0.89115,-0.2778,1
2014,11,light,1.1426,0.0059,1
2014,12,medium,-0.69715,-0.5213,1
2014,13,light,0.11955,-0.91125,0
2014,18,light,0.1394,-0.9349,0
2014,20,light,0.52385,-0.6068,0
2014,22,none,0.0935,-1.57335,0
2014,23,light,-0.01825,-1.4473,0
2014,25,light,1.0298,-0.03345,0
2014,26,light,1.9055,0.98655,1
2014,29,none,0.6268,-0.5916,0
2014,30,light,0.56965,-0.54395,0
2015,6,light,0.6119,-0.60345,1
2015,7,light,0.56985,-0.61945,0
2015,10,med,1.1432,-0.9262,1
2015,11,light,1.3116,0.3682,1
2015,12,light,-0.01925,-0.0897,0
2015,13,none,0.9444,-0.02785,0
2015,18,light,0.5812,-0.4549,0
2015,20,light,0.3831,-0.7674,0
2015,22,light,0.24965,-1.296,0
2015,23,light,0.49015,-0.75195,0
2015,25,light,0.95485,-0.1419,0
2015,26,light,2.1054,1.2117,0
2015,29,none,0.8546,-0.327166667,0
2015,30,none,1.926,0.75865,0
2016,6,none,0.82725,-0.3116,0
2016,7,light,0.7045,-0.4799,0
2016,10,light,1.2366,0.7409,1
2016,11,light,2.119,1.3553,1
2016,12,light,1.342,0.3942,1
2016,13,none,0.29535,-0.44375,0
2016,18,none,NA,NA,0
2016,20,light,0.4484,-0.6917,0
2016,22,light,0.448,-0.83945,0
2016,23,none,0.628,-0.55435,0
2016,25,light,0.41595,-1.1612,0
2016,26,none,1.9772,1.07335,1
2016,29,none,1.6454,0.855733333,0
2016,30,none,2.07905,0.97985,1
