Year,% Rotholz,% Resin
1950,0,0
1951,0,0
1952,50,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,10,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,5
1984,5,0
1985,0,0
1986,9,0
1987,9,0
1988,8,0
1989,15,0
1990,22,4
1991,26,11
1992,28,7
1993,23,7
1994,13,3
1995,26,6
1996,26,16
1997,19,10
1998,19,6
1999,25,3
2000,28,0
2001,25,13
2002,19,9
2003,25,0
2004,19,0
2005,13,0
2006,13,0
2007,25,3
2008,28,3
2009,31,3
2010,28,0
2011,13,6
2012,7,7
2013,0,3
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
