Year,Per_rot
1950,0
1951,0
1952,3
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,3
1961,1
1962,1
1963,1
1964,1
1965,2
1966,1
1967,0
1968,0
1969,0
1970,1
1971,2
1972,2
1973,1
1974,1
1975,2
1976,2
1977,2
1978,4
1979,4
1980,7
1981,2
1982,2
1983,2
1984,2
1985,3
1986,3
1987,2
1988,3
1989,4
1990,8
1991,9
1992,11
1993,9
1994,8
1995,10
1996,11
1997,11
1998,15
1999,17
2000,28
2001,22
2002,15
2003,13
2004,14
2005,14
2006,17
2007,22
2008,18
2009,21
2010,26
2011,24
2012,23
2013,20
2014,14
2015,14
2016,13
