Year,Samples,scale
1950,26,2.166666667
1951,32,2.666666667
1952,40,3.333333333
1953,41,3.416666667
1954,47,3.916666667
1955,49,4.083333333
1956,52,4.333333333
1957,61,5.083333333
1958,68,5.666666667
1959,69,5.75
1960,74,6.166666667
1961,75,6.25
1962,79,6.583333333
1963,87,7.25
1964,100,8.333333333
1965,108,9
1966,116,9.666666667
1967,122,10.16666667
1968,132,11
1969,147,12.25
1970,167,13.91666667
1971,184,15.33333333
1972,198,16.5
1973,213,17.75
1974,227,18.91666667
1975,248,20.66666667
1976,261,21.75
1977,272,22.66666667
1978,313,26.08333333
1979,332,27.66666667
1980,357,29.75
1981,383,31.91666667
1982,399,33.25
1983,428,35.66666667
1984,445,37.08333333
1985,472,39.33333333
1986,494,41.16666667
1987,516,43
1988,538,44.83333333
1989,553,46.08333333
1990,571,47.58333333
1991,593,49.41666667
1992,611,50.91666667
1993,626,52.16666667
1994,638,53.16666667
1995,647,53.91666667
1996,653,54.41666667
1997,661,55.08333333
1998,670,55.83333333
1999,680,56.66666667
2000,687,57.25
2001,690,57.5
2002,690,57.5
2003,692,57.66666667
2004,692,57.66666667
2005,696,58
2006,690,57.5
2007,690,57.5
2008,692,57.66666667
2009,692,57.66666667
2010,692,57.66666667
2011,692,57.66666667
2012,690,57.5
2013,687,57.25
2014,681,56.75
2015,673,56.08333333
2016,658,54.83333333
